RICE HARVEST PRICE ,PADDY HARVEST PRICE ,WHEAT HARVEST PRICE ,SORGHUM HARVEST PRICE ,PEARL MILLET HARVEST PRICE ,MAIZE HARVEST PRICE,FINGER MILLET HARVEST PRICE ,BARLEY HARVEST PRICE ,CHICKPEA HARVEST PRICE ,PIGEONPEA HARVEST PRICE ,GROUNDNUT HARVEST PRICE ,SEASMUM HARVEST PRICE ,RAPE AND MUSTARD HARVEST PRICE ,CASTOR HARVEST PRICE ,SUGARCANE GUR HARVEST PRICE ,COTTON KAPAS HARVEST PRICE 
453,273,409,460,-1,288,328,-1,911,-1,-1,1343,885,-1,736,-1
519,313,476,322,-1,234,347,-1,1003,-1,-1,1164,1082,-1,1008,-1
587,353,493,554,-1,316,406,-1,1244,-1,-1,1502,1294,-1,1178,-1
751,449,601,422,387,324,358,342,1281,1434,1311,1303,1347,-1,1129,1894
877,-1,764,589,-1,426,540,-1,1096,1323,-1,1332,1287,-1,1146,-1
898,418,697,424,336,315,561,430,1482,1464,1196,1569,1311,1034,1398,2123
-1,416,805,417,-1,331,535,-1,1582,-1,-1,1704,1425,-1,1290,-1
-1,458,838,492,-1,405,628,-1,1466,-1,-1,1290,1213,-1,1236,-1
-1,499,949,500,-1,395,589,-1,3544,-1,-1,1956,1463,-1,1096,-1
-1,471,997,629,-1,396,-1,-1,1669,-1,-1,1845,2320,-1,1292,-1
-1,382,975,-1,-1,500,-1,-1,1618,-1,-1,2000,1947,-1,1235,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
824,506,1029,1000,-1,-1,624,-1,1574,-1,-1,-1,1765,-1,1409,-1
855,545,1080,-1,-1,509,712,-1,2058,-1,-1,3200,-1,-1,1454,-1
924,583,1157,450,-1,545,-1,-1,2530,2309,-1,2324,2704,-1,-1,-1
965,714,1296,1400,-1,558,-1,-1,2691,2508,-1,4333,-1,-1,-1,-1
1435,934,1543,-1,-1,523,1385,-1,2694,-1,-1,-1,-1,-1,1856,-1
1479,965,1700,-1,-1,827,1061,-1,3059,-1,-1,3104,2329,-1,2988,-1
1425,1015,2000,-1,-1,835,1086,-1,2577,-1,-1,-1,-1,-1,3064,-1
1862,1173,2150,-1,-1,-1,-1,-1,5500,-1,-1,-1,-1,-1,2938,-1
2000,1268,1520,-1,-1,800,-1,-1,4500,-1,2600,-1,-1,-1,3661,-1
-1,1108,-1,-1,-1,1093,-1,-1,-1,-1,-1,-1,-1,-1,2872,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7910,-1,-1,-1,-1
2933,1297,-1,-1,-1,2800,-1,-1,-1,-1,-1,-1,-1,-1,3533,-1
-1,1331,-1,2550,-1,1260,-1,-1,5750,6362.5,-1,11183,6000,-1,4667,-1
71.9,-1,-1,-1,-1,-1,-1,-1,-1,83.6,-1,170.9,-1,153.9,110.2,-1
90.5,-1,-1,-1,-1,-1,-1,-1,-1,96,-1,147.3,-1,122.9,211.1,-1
100.1,-1,-1,-1,-1,-1,-1,-1,-1,82.3,-1,143.1,-1,95.2,172.7,-1
98.5,-1,-1,-1,-1,-1,-1,-1,-1,96.8,-1,169.7,-1,121.7,94.1,-1
92.4,-1,-1,-1,-1,-1,-1,-1,-1,90.6,153.5,179.3,-1,127.8,104.1,-1
91.2,-1,-1,-1,-1,-1,-1,-1,-1,100.3,143.5,-1,-1,127,127.5,-1
99.7,-1,-1,-1,-1,-1,-1,-1,-1,160.9,156.8,214.6,-1,-1,-1,-1
126.2,-1,-1,-1,-1,-1,-1,-1,-1,149.2,182.6,271.4,-1,-1,197.5,-1
184.5,-1,-1,-1,-1,-1,-1,-1,-1,158.5,223.6,318.5,-1,222.5,209.4,-1
167.2,-1,-1,-1,-1,-1,-1,-1,-1,105.2,170.2,260.7,-1,-1,200.5,-1
143.3,82.9,-1,-1,-1,-1,-1,-1,-1,250,235.2,351.3,-1,200,206.7,-1
149.7,85.9,-1,-1,-1,-1,-1,-1,-1,246.8,231.5,369.7,-1,-1,180,-1
142.4,82.9,117.1,-1,-1,-1,-1,-1,190.2,-1,201.7,261.2,-1,-1,-1,-1
175.4,104.4,151.2,-1,-1,-1,-1,-1,220.4,-1,273.4,367.7,-1,-1,-1,-1
180,105.5,184.2,-1,-1,-1,-1,-1,306,-1,346.2,425.2,-1,-1,-1,-1
202.9,116.5,164.2,-1,-1,-1,-1,-1,265.8,-1,389.9,474.2,-1,-1,-1,-1
243.5,131.4,244.3,-1,-1,-1,-1,-1,266.1,-1,343.5,491.4,-1,-1,-1,-1
263,-1,225.7,-1,-1,-1,-1,-1,302.4,350,462.1,594.8,-1,-1,-1,-1
240,-1,188,-1,-1,-1,-1,-1,394.5,326.4,497.6,678.9,-1,-1,-1,-1
259.8,-1,214.4,-1,-1,-1,-1,-1,462.4,345,446.7,500,-1,-1,-1,-1
246.1,-1,191,-1,-1,-1,-1,-1,311.1,426.4,560.1,775,-1,-1,-1,-1
274.8,-1,244.5,-1,-1,-1,-1,-1,438.8,584.6,606,868.2,-1,-1,-1,-1
332.3,-1,312.1,-1,-1,-1,225,-1,595,553.5,630.5,713,-1,-1,-1,-1
358,202.9,311.9,-1,-1,-1,-1,-1,638.8,650,630.4,776.5,-1,-1,-1,-1
356,207,320,-1,-1,-1,-1,-1,552,885,843,1154,-1,-1,-1,-1
-1,239,397,-1,-1,-1,450,-1,616,1001,1188,1550,-1,-1,-1,-1
490,295,408,-1,-1,-1,-1,-1,698,-1,1400,1475,-1,-1,-1,-1
526,317,459,-1,-1,-1,-1,-1,954,1025,1000,1550,-1,-1,-1,-1
628,378,465,-1,-1,-1,-1,-1,871,1297,1564,2167,-1,-1,-1,-1
800,467,467,407,387,303,500,342,946,1498,1499,2010,1071,-1,828,1894
850,-1,612,498,-1,463,-1,-1,1178,1390,1529,1775,-1,-1,-1,-1
973,418,659,424,336,407,559,430,1247,1688,1225,1500,1207,1034,1160,2123
-1,463,550,-1,-1,-1,-1,-1,1043,1500,2200,-1,-1,-1,-1,-1
-1,513,753,-1,-1,-1,-1,-1,1382,1671,1694,1687,-1,-1,-1,-1
-1,505,720,-1,-1,-1,-1,-1,1559,1382,1641,1704,-1,-1,-1,-1
-1,521,781,-1,-1,500,-1,-1,1526,1500,1662,2410,2500,-1,1096,-1
-1,437,823,-1,-1,-1,-1,-1,1511,1552,1850,2075,-1,-1,1411,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
980,565,798,-1,-1,-1,-1,-1,1415,-1,-1,-1,-1,-1,-1,-1
914,612,-1,-1,-1,1200,-1,-1,-1,-1,2353,3383,-1,-1,1809,-1
1093,665,1246,-1,-1,-1,-1,-1,2304,2364,2902,3280,2698,-1,-1,-1
1091,749,1394,-1,-1,-1,-1,-1,1880,2716,2639,4373,2490,-1,-1,-1
1594,985,-1,-1,1113,-1,-1,-1,-1,-1,2961,4944,-1,-1,2300,-1
1740,998,1435,-1,-1,-1,-1,-1,2241,3647,4409,5437,-1,-1,3025,-1
1638,1061,1340,-1,-1,-1,500,-1,2392,3709,3754,6207,-1,-1,-1,-1
1696,1081,1474,-1,-1,-1,-1,-1,3363,-1,5637,8208,-1,-1,-1,-1
1734,1231,-1,-1,-1,-1,-1,-1,-1,-1,3833,6926,-1,-1,3860,-1
2452,1491,1920,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,1407,1813,-1,-1,-1,-1,-1,9775,-1,-1,-1,-1,-1,-1,-1
-1,1486.67,1790,-1,-1,-1,-1,-1,4433,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,54.5,-1,-1,-1,80.8,133.3,-1,160.7,123,80.4,-1
96.3,-1,-1,-1,-1,-1,-1,-1,88.6,109.5,-1,-1,117.4,104.4,197.3,-1
91,-1,-1,-1,-1,68.5,-1,-1,75.2,70.9,-1,-1,116.3,72.4,149.1,-1
87,-1,-1,-1,-1,53.3,-1,-1,98.3,90.6,104.4,-1,155,91.1,79.5,-1
77.8,-1,-1,-1,-1,42,-1,-1,75.7,102.8,126.4,-1,152.5,100,80.5,-1
91.8,-1,-1,-1,-1,50,-1,-1,89.4,96.9,138,-1,157.7,101.5,117.9,-1
104.6,-1,-1,-1,-1,60.8,-1,-1,130.7,138,135.7,-1,183.5,146.3,161.4,-1
128.1,-1,-1,-1,-1,85,-1,-1,2153,152.1,211.1,-1,321.3,213,205.4,-1
199.8,-1,-1,-1,-1,152,-1,-1,181.5,163.7,200,-1,273.2,194,176.6,-1
164,-1,-1,-1,-1,100,-1,-1,126.8,102.6,151.6,-1,163.3,111.7,175.1,-1
153.2,73.4,-1,-1,-1,96.6,-1,-1,141.4,207.1,241.4,-1,338.8,222.4,244.9,-1
157.2,77.7,-1,-1,-1,93.7,-1,-1,188.2,250.6,218,-1,285.9,191.9,186.9,-1
145.2,85.4,120.8,-1,-1,114.5,-1,-1,185.7,266.2,-1,310.3,301.5,136.3,162.5,-1
224.5,109.9,162.3,-1,-1,125.5,-1,-1,242.9,251.7,-1,371.4,309.1,-1,301.5,-1
